Sr No.,Benchmark,Kernel Name,,C/M,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sm,comp_lat_sm,avg_comp_lat,glob_inst_kernel,glob_inst_sm,glob_lat_sm,avg_glob_lat,shar_inst_kernel,shar_inst_sm,shar_lat_sm,avg_shar_lat,misc_inst_kernel,misc_inst_sm,misc_lat_sm,avg_misc_lat,total_inst,branch,glob_load_sm,glob_store_sm,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power,inst_issue_cycle
1,alignedTypes,alignedTypes,,C/M,64,256,16384.0000,12,0,14,64,622,9.71875,11,473,170618,360.7145877,0,0,0,0,0,52,520,10,589,2,22,22,147,256,5,1.0000,2.0000,10386.9777,4265.4500,0.0000,0.0000,2.0000,1970.1469,110.324,9650176
2,alignedTypes,alignedTypes,,C/M,128,256,32768.0000,12,0,14,128,1244,9.71875,11,1034,323954,313.3017408,0,0,0,0,0,104,1040,10,1266,4,44,44,633,256,10,1,2.0000,18176.3977,16197.7000,0.0000,0.0000,4.0000,4860.7859,114.904,
3,Basic,div,,C/M,128,16,2048.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,2,16,10,0.25,1.0000,3087.1402,3.7625,0.0000,0.0000,4.0000,3.5036,63.75511,
4,Basic,div,,C/M,128,32,4096.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,4,32,10,0.25,1.0000,3087.1402,7.5250,0.0000,0.0000,4.0000,7.0071,63.93848,
5,Basic,div,,C/M,256,16,4096.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,41,0,41,410,10,56,0,1,1,4,16,20,0.25,1.0000,3087.1402,7.5250,0.0000,0.0000,8.0000,7.0071,64.32306,
6,Basic,div,,C/M,128,64,8192.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,7,64,10,0.5,1.0000,3087.1402,15.0500,0.0000,0.0000,4.0000,14.0143,64.54728,
7,Basic,div,,C/M,256,32,8192.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,7,32,20,0.25,1.0000,3087.1402,15.0500,0.0000,0.0000,8.0000,14.0143,64.74339,
8,Basic,div,,C/M,512,16,8192.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,7,16,40,0.25,1.0000,3087.1402,15.0500,0.0000,0.0000,16.0000,14.0143,65.80665,
9,Basic,div,,C/M,256,64,16384.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,14,64,20,0.5,2.0000,3087.1402,15.0500,0.0000,0.0000,8.0000,28.0285,66.23292,
10,Basic,div,,C/M,512,32,16384.0000,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,14,32,40,0.25,2.0000,3087.1402,15.0500,0.0000,0.0000,16.0000,28.0285,66.85619,
