Sr No.,Benchmark,Kernel Name,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sim,comp_lat_sim,avg_comp_lat,glob_inst_kernel,glob_inst_sim,glob_lat_sim,avg_glob_lat,shar_inst_kernel,shar_inst_sim,shar_lat_sim,avg_shar_lat,misc_inst_kernel,misc_inst_sim,misc_lat_sim,avg_misc_lat,total_inst,branch,glob_load_sim,glob_store_sim,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power
62,alignedTypes,alignedTypes,64,256,16384,12,0,14,64,622,9.71875,11,473,170618,360.7145877,0,0,0,0,0,52,520,10,589,2,22,22,147,256,5,1,2,10386.9777,4265.45,0,0,2,1970.1469,110.324
63,alignedTypes,alignedTypes,128,256,32768,12,0,14,128,1244,9.71875,11,1034,323954,313.3017408,0,0,0,0,0,104,1040,10,1266,4,44,44,633,256,10,1,2,18176.3977,16197.7,0,0,4,4860.7859,114.904
214,Basic,div,128,16,2048,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,2,16,10,0.25,1,3087.1402,3.7625,0,0,4,3.5036,63.75511
215,Basic,div,128,32,4096,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,4,32,10,0.25,1,3087.1402,7.525,0,0,4,7.0071,63.93848
207,Basic,div,256,16,4096,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,41,0,41,410,10,56,0,1,1,4,16,20,0.25,1,3087.1402,7.525,0,0,8,7.0071,64.32306
216,Basic,div,128,64,8192,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,7,64,10,0.5,1,3087.1402,15.05,0,0,4,14.0143,64.54728
208,Basic,div,256,32,8192,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,7,32,20,0.25,1,3087.1402,15.05,0,0,8,14.0143,64.74339
200,Basic,div,512,16,8192,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,7,16,40,0.25,1,3087.1402,15.05,0,0,16,14.0143,65.80665
209,Basic,div,256,64,16384,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,14,64,20,0.5,2,3087.1402,15.05,0,0,8,28.0285,66.23292
201,Basic,div,512,32,16384,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,14,32,40,0.25,2,3087.1402,15.05,0,0,16,28.0285,66.85619
193,Basic,div,1024,16,16384,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,14,16,79,0.25,2,3087.1402,15.05,0,0,32,28.0285,68.71354
217,Basic,div,128,128,16384,13,0,13,13,1371,105.4615385,2,2,602,301,0,0,0,0,0,41,410,10,56,0,1,1,14,128,10,1,2,3087.1402,15.05,0,0,4,28.0285,66.07364
218,Basic,div,128,256,32768,13,0,13,26,2742,105.4615385,2,4,1275,318.75,0,0,0,0,0,82,820,10,112,0,2,2,56,256,10,1,2,3119.7144,63.75,0,0,4,109.5567,68.91873
210,Basic,div,256,128,32768,13,0,13,26,2742,105.4615385,2,4,1275,318.75,0,0,0,0,0,82,820,10,112,0,2,2,56,128,20,1,2,3119.7144,63.75,0,0,8,109.5567,69.27718
202,Basic,div,512,64,32768,13,0,13,26,2742,105.4615385,2,4,1275,318.75,0,0,0,0,0,82,820,10,112,0,2,2,56,64,40,0.5,2,3119.7144,63.75,0,0,16,109.5567,69.5961
194,Basic,div,1024,32,32768,13,0,13,26,2742,105.4615385,2,4,1275,318.75,0,0,0,0,0,82,820,10,112,0,2,2,56,32,79,0.25,2,3119.7144,63.75,0,0,32,109.5567,70.67411
219,Basic,div,128,512,65536,13,0,13,39,4113,105.4615385,2,6,1806,301,0,0,0,0,0,123,1230,10,168,0,3,3,168,512,10,1,3,3152.2748,120.4,0,0,4,325.2752,74.88151
211,Basic,div,256,256,65536,13,0,13,39,4113,105.4615385,2,6,1806,301,0,0,0,0,0,123,1230,10,168,0,3,3,168,256,20,1,3,3152.2748,120.4,0,0,8,325.2752,75.04933
