Sr No.,Benchmark,Kernel Name,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sim,comp_lat_sim,avg_comp_lat,glob_inst_kernel,glob_inst_sim,glob_lat_sim,avg_glob_lat,shar_inst_kernel,shar_inst_sim,shar_lat_sim,avg_shar_lat,misc_inst_kernel,misc_inst_sim,misc_lat_sim,avg_misc_lat,total_inst,branch,glob_load_sim,glob_store_sim,inst_issue_cycles,sm_active,waves,global_Throughput,glb_penalty,wtotal,cache_penalty,sh_throughput,sh_penalty,occupancy,Power
#VALUE!,Matrix Multiplication,MatrixMul_1024,200,1024,204800,27,8192,73,1345824,12157043.52,9.03316,8,65632,32022432,487.908825,64,2099200,75571200,36,6,73056,730560,10,3583712,64,65600,32,11199100,,,79229.44004,424978.2802,7,1786966.071,1618990,845746,1,53.36284
#VALUE!,Matrix Multiplication,MatrixMul_256,256,1024,262144,27,8192,73,84552,84552,1,8,4120,2009064,487.6368932,64,131584,4737024,36,6,5976,59760,10,226232,16,4112,8,904928,,,24923.54933,108551.2874,9,111614.6667,1617869.673,86770,1,55.85302
#VALUE!,Matrix Multiplication,MatrixMul_200,1024,1024,1048576,27,8192,73,49638,455112,9.168620815,8,2418,1178862,487.5359801,64,77184,2778624,36,6,3810,38100,10,133050,12,2412,6,2128800,,,21274.59107,298540.1309,31,76055.6129,1596305.803,62251,1,84.99972
#VALUE!,Transpose,Tpose7,262144,256,67108864,11,1088,23,47943,1938267,40.42857143,6,36528,14410296,394.5,1,13698,493128,36,7,155244,1552440,10,253413,0,18264,18264,259494912,,sh_penalty,66131.97663,92854297.36,1924,958689.131,859895.051,29445,1,86.97116
#VALUE!,Transpose,Tpose6,262144,256,67108864,11,1088,23,23,3219030,139957.8261,6,31962,12609009,394.5,1,11415,410940,36,7,173508,1735080,10,216908,0,15981,15981,222113792,,,62657.73168,85752520.9,1924,838852.9896,757756.7687,29419,1,83.06956
#VALUE!,Transpose,Tpose5,262144,256,67108864,10,1088,21,75339,6239439,82.81818182,6,27396,10782723.37,393.5875081,1,9132,328752,36,7,271677,2716770,10,383544,6849,13698,13968,392749056,,,58609.83816,78578593.84,1924,717353.7379,641875.5036,29393,1,81.51572
23,BinomOpt,BinomOpt,1024,1024,1048576,28,1028,307,314464,3110880,9.892642719,1,32,15616,488,0,8992,323712,36,8,41728,417280,10,365216,96,32,0,5843456,,,15796.27841,5321.117416,31,1007.483871,634282.0133,79129.87507,1,78.66607
24,Transpose,Tpose4,262144,256,67108864,11,1088,26,59358,2917674,49.15384615,6,22830,9006435,394.5,1,6849,246564,36,7,191772,1917720,10,280809,0,11415,11415,287548416,,,53893.5783,71212545.37,1924,599180.7069,510402.1003,29393,1,83.20746
25,Matrix Multiplication,MatrixMul_100,25,1024,25600,27,8192,73,4173,38952,9.334291876,8,203,98877,487.0788177,64,6464,232704,36,6,435,4350,10,11275,2,202,1,4404,,,16203.61708,803.3998787,2,2413.989258,486548.8436,86770,1,41.36891
26,convolutionSeperable,row,18432,128,2359296,30,2560,184,5940,122256,20.58181818,22,648,262368,404.8888889,73,4644,167184,36,5,19260,192600,10,30492,72,360,288,1097712,,,17252.78756,221975.9343,69,17110.95652,366651.6071,365434,1,91.53459
