Sr No.,Benchmark,Kernel Name,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sim,comp_lat_sim,avg_comp_lat,glob_inst_kernel,glob_inst_sim,glob_lat_sim,avg_glob_lat,shar_inst_kernel,shar_inst_sim,shar_lat_sim,avg_shar_lat,misc_inst_kernel,misc_inst_sim,misc_lat_sim,avg_misc_lat,total_inst,branch,glob_load_sim,glob_store_sim,inst_issue_cycles,sm_active,waves,n_warps,cache_penalty,occupancy,Power,wtotal,Global_Throughput,sh_penalty,sh_throughput,glb_penalty
1,cdpSimpleQuickSort,cdpSimpleQuickSort,64,8,512,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,14,,,,15.19661458,0.5,47.35887,1,,,,
2,cdpSimpleQuickSort,cdpSimpleQuickSort,64,16,1024,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,28,,,,30.39322917,0.5,47.61967,1,,,,
3,cdpSimpleQuickSort,cdpSimpleQuickSort,64,32,2048,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,56,,,,60.78645833,0.5,48.47814,1,,,,
4,cdpSimpleQuickSort,cdpSimpleQuickSort,64,64,4096,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,111,,,,121.5729167,1,51.98743,1,,,,
5,cdpSimpleQuickSort,cdpSimpleQuickSort,64,128,8192,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,223,,,,243.1458333,1,55.93268,1,,,,
6,cdpSimpleQuickSort,cdpSimpleQuickSort,16,256,4096,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,111,,,,121.5729167,1,62.97238,1,,,,
7,cdpSimpleQuickSort,cdpSimpleQuickSort,64,512,32768,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,890,,,,486.2916667,1,62.713,2,,,,
8,cdpSimpleQuickSort,cdpSimpleQuickSort,64,1024,65536,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,1780,,,,648.3888889,1,59.46006,3,,,,
9,cdpSimpleQuickSort,cdpSimpleQuickSort,256,8,2048,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,56,,,,60.78645833,0.5,54.48481,1,,,,
10,cdpSimpleQuickSort,cdpSimpleQuickSort,256,16,4096,30,0,93,93,3455,37.15053763,11,11,4244,385.8181818,0,0,0,0,341,341,3410,10,445,16,7,4,111,,,,121.5729167,0.5,55.32189,1,,,,
