KernelName,GridSize,BlockSize,Comp_inst_kernel,avg_comp_lat,glob_inst_kernel,avg_glob_lat,avg_shar_lat,block_size,misc_inst_kernel,branch,glob_load_sm,glob_store_sm,inst_issue_cycles,cache_penalty,Avg,Time,Regs,Loops
heartwall,51,1,2912,85.58962912087912,507,538.3372781065088,36.0,1,715,315,315,192,1.0,4.948270797729492,67.0,1235375.9,10,1
heartwall,51,2,2912,85.58962912087912,507,538.3372781065088,36.0,2,715,315,315,192,54.0,9.896541595458984,67.3,581667.85,10,1
heartwall,51,4,2912,85.58962912087912,507,538.3372781065088,36.0,4,715,315,315,192,164.0,19.79308319091797,68.3,327181.05,10,1
heartwall,51,8,2912,85.58962912087912,507,538.3372781065088,36.0,8,715,315,315,192,329.0,39.58616638183594,68.5,179276.45,10,1
heartwall,51,16,2912,85.58962912087912,507,538.3372781065088,36.0,16,715,315,315,192,658.0,79.17233276367188,69.25,100376.1,10,1
heartwall,51,32,2912,85.58962912087912,507,538.3372781065088,36.0,32,715,315,315,192,1372.0,158.34466552734375,69.2,53804.15,10,1
heartwall,51,64,2912,85.58962912087912,507,538.3372781065088,36.0,64,715,315,315,192,2800.0,316.6893310546875,72.8,28424.15,10,1
heartwall,51,128,2912,85.58962912087912,507,538.3372781065088,36.0,128,715,315,315,192,5600.0,633.378662109375,74.35,14811.55,10,1
heartwall,51,256,2912,85.58962912087912,507,538.3372781065088,36.0,256,715,315,315,192,11200.0,1266.75732421875,73.2,7746.6,10,1
heartwall,51,512,2912,85.58962912087912,507,538.3372781065088,36.0,512,715,315,315,192,22401.0,1266.75732421875,74.55,4408.8,10,1
heartwall,51,1024,2912,85.58962912087912,507,538.3372781065088,36.0,1024,715,315,315,192,44803.0,2533.5146484375,63.75,3782.8,10,1
heartwall,51,43,2912,85.58962912087912,507,538.3372781065088,36.0,43,715,315,315,192,1866.0,212.77564430236816,64.95,44285.9,10,1
heartwall,51,193,2912,85.58962912087912,507,538.3372781065088,36.0,193,715,315,315,192,8400.0,955.016263961792,76.75,9656.3,10,1
heartwall,51,671,2912,85.58962912087912,507,538.3372781065088,36.0,671,715,315,315,192,29319.0,1660.1448526382446,82.4,3484.75,10,1
heartwall,51,79,2912,85.58962912087912,507,538.3372781065088,36.0,79,715,315,315,192,3404.0,390.9133930206299,77.35,21380.5,10,1
heartwall,51,230,2912,85.58962912087912,507,538.3372781065088,36.0,230,715,315,315,192,10047.0,1138.1022834777832,75.1,8569.0,10,1
heartwall,51,199,2912,85.58962912087912,507,538.3372781065088,36.0,199,715,315,315,192,8675.0,984.705888748169,76.15,9618.85,10,1
heartwall,51,642,2912,85.58962912087912,507,538.3372781065088,36.0,642,715,315,315,192,28057.0,1588.394926071167,75.0,3908.05,10,1
heartwall,51,552,2912,85.58962912087912,507,538.3372781065088,36.0,552,715,315,315,192,24103.0,1365.7227401733398,78.55,4390.4,10,1
heartwall,51,206,2912,85.58962912087912,507,538.3372781065088,36.0,206,715,315,315,192,9004.0,1019.3437843322754,76.05,9935.8,10,1
heartwall,51,458,2912,85.58962912087912,507,538.3372781065088,36.0,458,715,315,315,192,19985.0,1133.1540126800537,76.5,5474.05,10,1
heartwall,51,477,2912,85.58962912087912,507,538.3372781065088,36.0,477,715,315,315,192,20864.0,1180.162585258484,74.95,4972.75,10,1
heartwall,51,172,2912,85.58962912087912,507,538.3372781065088,36.0,172,715,315,315,192,7522.0,851.1025772094727,63.4,13004.55,10,1
heartwall,51,748,2912,85.58962912087912,507,538.3372781065088,36.0,748,715,315,315,192,32724.0,1850.65327835083,67.4,4045.4,10,1
heartwall,51,650,2912,85.58962912087912,507,538.3372781065088,36.0,650,715,315,315,192,28386.0,1608.188009262085,67.8,4419.7,10,1
heartwall,51,430,2912,85.58962912087912,507,538.3372781065088,36.0,430,715,315,315,192,18777.0,1063.8782215118408,67.95,5818.05,10,1
heartwall,51,505,2912,85.58962912087912,507,538.3372781065088,36.0,505,715,315,315,192,22072.0,1249.4383764266968,68.25,5037.1,10,1
heartwall,51,335,2912,85.58962912087912,507,538.3372781065088,36.0,335,715,315,315,192,14605.0,1657.67071723938,69.55,6806.0,10,1
heartwall,51,985,2912,85.58962912087912,507,538.3372781065088,36.0,985,715,315,315,192,43046.0,2437.023367881775,67.2,3868.8,10,1
heartwall,51,204,2912,85.58962912087912,507,538.3372781065088,36.0,204,715,315,315,192,8894.0,1009.4472427368164,70.05,10255.55,10,1
heartwall,51,371,2912,85.58962912087912,507,538.3372781065088,36.0,371,715,315,315,192,16197.0,917.9042329788208,76.55,5839.9,10,1
heartwall,51,810,2912,85.58962912087912,507,538.3372781065088,36.0,810,715,315,315,192,35414.0,2004.0496730804443,74.4,3761.9,10,1
heartwall,51,880,2912,85.58962912087912,507,538.3372781065088,36.0,880,715,315,315,192,38489.0,2177.239151000977,74.35,3429.35,10,1
heartwall,51,449,2912,85.58962912087912,507,538.3372781065088,36.0,449,715,315,315,192,19601.0,1110.886794090271,75.6,5310.1,10,1
heartwall,51,636,2912,85.58962912087912,507,538.3372781065088,36.0,636,715,315,315,192,27782.0,1573.5501136779783,62.45,4692.05,10,1
heartwall,51,516,2912,85.58962912087912,507,538.3372781065088,36.0,516,715,315,315,192,22566.0,1276.653865814209,61.4,5541.2,10,1
heartwall,51,663,2912,85.58962912087912,507,538.3372781065088,36.0,663,715,315,315,192,28990.0,1640.351769447327,60.55,4548.3,10,1
heartwall,51,150,2912,85.58962912087912,507,538.3372781065088,36.0,150,715,315,315,192,6533.0,742.2406196594238,62.2,14529.05,10,1
heartwall,51,1020,2912,85.58962912087912,507,538.3372781065088,36.0,1020,715,315,315,192,44583.0,2523.618106842041,66.35,3428.45,10,1
heartwall,51,559,2912,85.58962912087912,507,538.3372781065088,36.0,559,715,315,315,192,24433.0,1383.041687965393,69.3,4579.9,10,1
heartwall,51,609,2912,85.58962912087912,507,538.3372781065088,36.0,609,715,315,315,192,26629.0,1506.7484579086304,68.9,4297.85,10,1
heartwall,51,870,2912,85.58962912087912,507,538.3372781065088,36.0,870,715,315,315,192,38050.0,2152.497797012329,67.5,3819.25,10,1
heartwall,51,123,2912,85.58962912087912,507,538.3372781065088,36.0,123,715,315,315,192,5380.0,608.6373081207275,69.2,15266.7,10,1
heartwall,51,602,2912,85.58962912087912,507,538.3372781065088,36.0,602,715,315,315,192,26300.0,1489.4295101165771,80.95,4086.25,10,1
heartwall,51,722,2912,85.58962912087912,507,538.3372781065088,36.0,722,715,315,315,192,31571.0,1786.325757980347,74.3,3943.2,10,1
heartwall,51,991,2912,85.58962912087912,507,538.3372781065088,36.0,991,715,315,315,192,43321.0,2451.8681802749634,81.65,3553.9,10,1
heartwall,51,843,2912,85.58962912087912,507,538.3372781065088,36.0,843,715,315,315,192,36842.0,2085.696141242981,74.25,3418.6,10,1
heartwall,51,715,2912,85.58962912087912,507,538.3372781065088,36.0,715,715,315,315,192,31241.0,1769.0068101882937,75.0,3723.5,10,1
heartwall,51,866,2912,85.58962912087912,507,538.3372781065088,36.0,866,715,315,315,192,37885.0,2142.60125541687,74.7,3651.35,10,1
heartwall,51,768,2912,85.58962912087912,507,538.3372781065088,36.0,768,715,315,315,192,33602.0,1900.135986328125,59.7,3925.75,10,1
heartwall,51,272,2912,85.58962912087912,507,538.3372781065088,36.0,272,715,315,315,192,11859.0,1345.929656982422,60.4,8594.55,10,1
heartwall,51,754,2912,85.58962912087912,507,538.3372781065088,36.0,754,715,315,315,192,32943.0,1865.4980907440183,60.55,3858.95,10,1
heartwall,51,731,2912,85.58962912087912,507,538.3372781065088,36.0,731,715,315,315,192,31955.0,1808.5929765701296,60.45,4329.35,10,1
heartwall,51,494,2912,85.58962912087912,507,538.3372781065088,36.0,494,715,315,315,192,21578.0,1222.2228870391846,61.4,5420.75,10,1
heartwall,51,775,2912,85.58962912087912,507,538.3372781065088,36.0,775,715,315,315,192,33877.0,1917.4549341201785,60.55,4252.65,10,1
heartwall,51,380,2912,85.58962912087912,507,538.3372781065088,36.0,380,715,315,315,192,16581.0,940.1714515686036,59.25,6670.65,10,1
heartwall,51,846,2912,85.58962912087912,507,538.3372781065088,36.0,846,715,315,315,192,37006.0,2093.118547439575,61.45,4235.7,10,1
heartwall,51,787,2912,85.58962912087912,507,538.3372781065088,36.0,787,715,315,315,192,34426.0,1947.1445589065552,61.25,4631.5,10,1
