kernel_name,total_bytes_read_mb,total_bytes_written_mb,total_bytes_mb,total_flops_m,arithmetic_intensity,num_nodes,count_unique_ops,architecture,power_consumption
10_3D_tensor_matrix_multiplication.py_variable_multiplier_0.8,321.6,214.4,536.0,63057.5,89.7557,1,1,a100,99.0
11_4D_tensor_matrix_multiplication.py_variable_multiplier_0.8,2459.4,1639.6,4099.0,93972.4,17.4909,4,3,a100,196.5
12_Matmul_with_diagonal_matrices_.py_variable_multiplier_0.8,153.638,102.425,256.062,40.2624,0.12,3,3,a100,99.0
13_Matmul_for_symmetric_matrices.py_variable_multiplier_0.8,307.2,204.8,512.0,180067.0,268.32,1,1,a100,99.0
14_Matmul_for_upper_triangular_matrices.py_variable_multiplier_0.8,307.2,204.8,512.0,180107.0,268.38,3,3,a100,99.0
15_Matmul_for_lower_triangular_matrices.py_variable_multiplier_0.8,307.2,204.8,512.0,180107.0,268.38,3,3,a100,99.0
16_Matmul_with_transposed_A.py_variable_multiplier_0.8,460.8,307.2,768.0,146915.0,145.947,2,2,a100,99.0
17_Matmul_with_transposed_B.py_variable_multiplier_0.8,460.8,307.2,768.0,146915.0,145.947,2,2,a100,99.0
18_Matmul_with_transposed_both.py_variable_multiplier_0.8,460.8,307.2,768.0,146915.0,145.947,3,2,a100,99.0
19_ReLU.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,3865.47,0.12,1,1,a100,100.0
1_Square_matrix_multiplication_.py_variable_multiplier_0.8,307.2,204.8,512.0,180067.0,268.32,1,1,a100,99.0
20_LeakyReLU.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,7730.94,0.24,2,2,a100,147.0
21_Sigmoid.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,15461.9,0.48,1,1,a100,99.0
22_Tanh.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,23192.8,0.72,1,1,a100,99.0
23_Softmax.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,19327.4,0.6,3,2,a100,213.0
24_LogSoftmax.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,19327.4,0.6,3,2,a100,207.5
25_Swish.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,19327.4,0.6,2,2,a100,229.5
26_GELU_.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,54116.6,1.68,2,2,a100,99.0
27_SELU_.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,38654.7,1.2,1,1,a100,99.0
28_HardSigmoid.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,11596.4,0.36,1,1,a100,99.0
29_Softplus.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,23192.8,0.72,3,2,a100,99.0
2_Standard_matrix_multiplication_.py_variable_multiplier_0.8,460.8,307.2,768.0,146915.0,145.947,1,1,a100,99.0
30_Softsign.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,11596.4,0.36,5,4,a100,218.66666666666663
31_ELU.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,30923.8,0.96,4,2,a100,99.0
32_HardTanh.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,7730.94,0.24,3,2,a100,99.0
33_BatchNorm.py_variable_multiplier_0.8,9830.4,6553.6,16384.0,5153.96,0.24,3,3,a100,149.0
34_InstanceNorm.py_variable_multiplier_0.8,17203.2,11468.8,28672.0,18038.9,0.48,2,2,a100,191.5
36_RMSNorm_.py_variable_multiplier_0.8,17203.2,11468.8,28672.0,46224.6,1.23,12,7,a100,224.5
37_FrobeniusNorm_.py_variable_multiplier_0.8,17203.2,11468.8,28672.0,4510.02,0.12,6,3,a100,99.0
38_L1Norm_.py_variable_multiplier_0.8,19660.5,13107.0,32767.5,10310.1,0.24008,7,5,a100,259.0
39_L2Norm_.py_variable_multiplier_0.8,19660.5,13107.0,32767.5,5157.34,0.12008,7,4,a100,233.0
3_Batched_matrix_multiplication.py_variable_multiplier_0.8,3072.0,2048.0,5120.0,113451.0,16.9056,1,1,a100,99.0
40_LayerNorm.py_variable_multiplier_0.8,665.6,435.2,1100.8,322.123,0.22328,3,3,a100,99.0
43_Max_Pooling_3D.py_variable_multiplier_0.8,9830.4,6553.6,16384.0,95.4437,0.00448,2,2,a100,185.5
45_Average_Pooling_2D.py_variable_multiplier_0.8,26322.7,13215.5,39538.2,137.382,0.00264,2,2,a100,99.0
46_Average_Pooling_3D.py_variable_multiplier_0.8,19660.8,13107.2,32768.0,1364.28,0.03176,2,2,a100,190.66666666666663
47_Sum_reduction_over_a_dimension.py_variable_multiplier_0.8,19656.0,13104.0,32760.0,18.4685,0.0004,5,3,a100,100.0
48_Mean_reduction_over_a_dimension.py_variable_multiplier_0.8,19656.0,13104.0,32760.0,36.937,0.00088,5,3,a100,99.0
49_Max_reduction_over_a_dimension.py_variable_multiplier_0.8,19656.0,13104.0,32760.0,18.4685,0.0004,3,2,a100,99.0
4_Matrix_vector_multiplication_.py_variable_multiplier_0.8,19670.4,13113.6,32784.0,20333.3,0.4732,1,1,a100,297.5
50_conv_standard_2D__square_input__square_kernel.py_variable_multiplier_0.8,3998.61,3880.91,7879.52,185.136,0.01792,3,3,a100,99.0
51_Argmax_over_a_dimension.py_variable_multiplier_0.8,19656.0,13104.0,32760.0,18.4685,0.0004,3,2,a100,99.0
52_Argmin_over_a_dimension.py_variable_multiplier_0.8,19656.0,13104.0,32760.0,18.4685,0.0004,3,2,a100,99.0
53_Min_reduction_over_a_dimension.py_variable_multiplier_0.8,19656.0,13104.0,32760.0,18.4685,0.0004,3,2,a100,99.0
54_conv_standard_3D__square_input__square_kernel.py_variable_multiplier_0.8,896.032,857.616,1753.65,60.398,0.02624,3,3,a100,120.0
55_conv_standard_2D__asymmetric_input__square_kernel.py_variable_multiplier_0.8,3277.25,2457.82,5735.08,1288.84,0.17144,3,3,a100,150.5
56_conv_standard_2D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.8,820.95,615.275,1436.22,323.499,0.17184,3,3,a100,99.0
57_conv_transposed_2D__square_input__square_kernel.py_variable_multiplier_0.8,4915.42,3276.91,8192.34,2576.98,0.24,3,3,a100,161.0
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.8,153.928,102.564,256.492,80.5306,0.23952,3,3,a100,137.5
59_conv_standard_3D__asymmetric_input__square_kernel.py_variable_multiplier_0.8,2240.01,2144.01,4384.02,150.995,0.02624,3,3,a100,138.5
5_Matrix_scalar_multiplication.py_variable_multiplier_0.8,9830.4,6553.6,16384.0,2576.98,0.12,3,3,a100,99.0
60_conv_standard_3D__square_input__asymmetric_kernel.py_variable_multiplier_0.8,896.123,857.662,1753.78,60.398,0.02624,3,3,a100,99.0
61_conv_transposed_3D__square_input__square_kernel.py_variable_multiplier_0.8,921.98,614.59,1536.57,483.184,0.23992,3,3,a100,99.0
62_conv_standard_2D__square_input__asymmetric_kernel.py_variable_multiplier_0.8,819.762,614.681,1434.44,322.565,0.1716,3,3,a100,99.0
63_conv_standard_2D__square_input__square_kernel.py_variable_multiplier_0.8,8192.11,7372.86,15565.0,1288.58,0.0632,3,3,a100,211.0
64_conv_transposed_1D.py_variable_multiplier_0.8,4915.5,3276.95,8192.45,2576.98,0.24,3,3,a100,171.5
65_conv_transposed_2D__square_input__asymmetric_kernel.py_variable_multiplier_0.8,1229.32,819.462,2048.79,644.245,0.23992,3,3,a100,99.0
66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.8,448.123,428.862,876.985,81978.8,71.3181,2,2,a100,99.0
