iter	RMSE
0	42.96164385
1	42.71416461
2	42.4828216
3	42.24719872
4	42.00498367
5	41.7676198
6	41.5368848
7	41.30045956
8	41.05361609
9	40.83424784
10	40.61906893
11	40.39657202
12	40.15484787
13	39.91900435
14	39.67907466
15	39.45090032
16	39.22640631
17	38.99612248
18	38.77149618
19	38.55955461
20	38.34370959
21	38.15984035
22	37.95157453
23	37.77198275
24	37.58259434
25	37.37991214
26	37.19060507
27	37.01881158
28	36.83155765
29	36.64634721
30	36.45239265
31	36.28013385
32	36.13211141
33	35.94005476
34	35.78812122
35	35.624546
36	35.45358883
37	35.30417832
38	35.14639748
39	34.97259952
40	34.79978024
41	34.65953951
42	34.48344594
43	34.32530934
44	34.16951512
45	34.01641906
46	33.87819753
47	33.71208477
48	33.56687325
49	33.41354767
50	33.25688638
51	33.13503512
52	32.99606845
53	32.85822497
54	32.73640291
55	32.60622527
56	32.45170978
57	32.32385748
58	32.19610302
59	32.07231422
60	31.95309343
61	31.80789056
62	31.67847915
63	31.55107394
64	31.44052805
65	31.30789622
66	31.16973595
67	31.06934351
68	30.93431414
69	30.80618378
70	30.68937193
71	30.57035062
72	30.42402185
73	30.31606487
74	30.21063486
75	30.11061324
76	30.0035712
77	29.89616422
78	29.77633069
79	29.67215672
80	29.57352295
81	29.4399338
82	29.32437839
83	29.23213894
84	29.09246892
85	28.99048775
86	28.88159553
87	28.77151541
88	28.68407432
89	28.59867576
90	28.50503744
91	28.41583919
92	28.32343872
93	28.24076169
94	28.12078373
95	28.03702023
96	27.95262686
97	27.87418425
98	27.7698121
99	27.68826812
100	27.5890861
101	27.50063695
102	27.40752164
103	27.31957603
104	27.21546724
105	27.10890292
106	27.03178437
107	26.95584592
108	26.87891588
109	26.7861399
110	26.70786904
111	26.6171561
112	26.5409364
113	26.4688946
114	26.38711461
115	26.30452161
116	26.21643358
117	26.13424253
118	26.07519953
119	26.00924475
120	25.94895286
121	25.86513421
122	25.78258634
123	25.70874375
124	25.63668525
125	25.55955247
126	25.49832562
127	25.43226896
128	25.36698259
129	25.29020311
130	25.2143101
131	25.15238873
132	25.08905955
133	25.0262935
134	24.95224522
135	24.89948093
136	24.84156851
137	24.7781306
138	24.71529946
139	24.65433617
140	24.58446438
141	24.5287961
142	24.46472534
143	24.40422167
144	24.34885826
145	24.29244509
