iter	Passed	Remaining
0	0	3981
1	1	3825
2	2	3746
3	2	3725
4	3	3693
5	4	3747
6	5	3834
7	6	3842
8	6	3831
9	7	3810
10	8	3792
11	9	3775
12	9	3816
13	10	3817
14	11	3838
15	12	3839
16	13	3822
17	13	3804
18	14	3784
19	15	3777
20	15	3760
21	16	3747
22	17	3732
23	18	3745
24	18	3740
25	19	3733
26	20	3733
27	21	3743
28	21	3746
29	22	3738
30	23	3727
31	23	3721
32	24	3717
33	25	3714
34	26	3729
35	27	3728
36	27	3730
37	28	3740
38	29	3745
39	30	3745
40	30	3741
41	31	3735
42	32	3728
43	33	3724
44	33	3720
45	34	3713
46	35	3711
47	35	3708
48	36	3709
49	37	3706
50	38	3702
51	39	3714
52	39	3724
53	40	3724
54	41	3728
55	42	3728
56	42	3724
57	43	3721
58	44	3730
59	45	3730
60	46	3779
61	47	3804
62	48	3810
63	49	3809
64	50	3805
65	50	3801
66	51	3796
67	52	3792
68	53	3795
69	53	3794
70	54	3800
71	55	3798
72	56	3793
73	56	3789
74	57	3785
75	58	3779
76	59	3773
77	59	3769
78	60	3765
79	61	3760
80	61	3756
81	62	3762
82	63	3761
83	64	3756
84	64	3756
85	65	3751
86	66	3748
87	67	3746
88	67	3741
89	68	3739
90	69	3739
91	69	3734
92	70	3729
93	71	3733
94	72	3731
95	72	3727
96	73	3723
97	74	3719
98	75	3716
99	75	3712
100	77	3742
101	77	3740
102	78	3742
103	79	3743
104	80	3739
105	80	3735
106	81	3731
107	82	3728
108	83	3725
109	83	3723
110	84	3724
111	85	3726
112	86	3722
113	86	3718
114	87	3715
115	88	3713
116	88	3710
117	89	3707
118	90	3706
119	91	3702
120	91	3701
121	92	3698
122	93	3701
123	94	3699
124	94	3697
125	95	3695
126	96	3693
127	96	3689
128	97	3692
129	98	3691
130	99	3692
131	100	3695
132	100	3694
133	101	3698
134	102	3699
135	103	3700
136	104	3698
137	104	3698
138	105	3697
139	106	3694
140	107	3694
141	107	3691
142	108	3688
143	109	3685
144	110	3683
145	110	3683
146	111	3682
147	112	3679
148	112	3676
149	113	3673
150	114	3671
151	114	3667
152	115	3667
153	116	3666
154	117	3663
155	117	3662
156	118	3660
157	119	3658
158	120	3656
159	120	3659
160	121	3658
161	122	3659
162	123	3657
163	123	3655
164	124	3653
165	125	3651
166	126	3651
167	127	3653
168	127	3654
